#SDSS SN Id	Type	IAUC Name	Right Ascension(hh:mm:ss)	Declination(dd:mm:ss) 	Redshift	Peak MJD	#Obs	Spectrum?
SN2928  SNIa?(LC)  ---  0:19:24.60  +0:35:20.9  0.1490  53643.8  12  YES 
SN2929  SNIa?(LC)  2005im  0:36:2.87  +0:50:5.9  0.1190  53639.0  18  YES 
SN2943  SNIa  2005go  1:10:49.19  +1:0:28.6  0.2600  53639.0  7  YES 
SN2992  SNIa  2005gp  3:41:59.29  -0:46:57.6  0.1270  53638.9  17  YES 
SN3049  SNIa?(LC)  ---  22:0:53.64  -1:14:11.5  0.1680  53643.6  10  YES 
SN3080  SNIa  2005ga  1:7:43.76  -1:2:22.2  0.1550  53645.9  14  YES 
SN3087  SNIa  2005gc  1:21:37.61  -0:58:38.0  0.1700  53647.7  17  YES 
SN3195  SNIa?(LC)  ---  0:34:40.41  +0:14:39.5  0.3056  53633.1  6  YES 
SN3199  SNIa  2005gs  22:13:10.25  +1:3:1.9  0.2700  53644.1  14  YES 
SN3225  SNIa?(LC)  ---  1:33:31.53  +0:18:40.6  0.3425  53623.9  5  YES 
SN3241  SNIa?(SP)  2005gh  20:50:36.35  -0:21:14.7  0.2590  53644.2  6  YES 
SN3256  SNIa  2005hn  21:57:4.25  -0:13:24.6  0.1120  53650.9  12  YES 
SN3317  SNIa  2005gd  1:47:51.03  +0:38:26.2  0.1620  53645.8  16  YES 
SN3331  SNIa?(SP)  2005ge  2:18:14.73  +0:47:47.6  0.1900  53646.4  16  YES 
SN3377  SNIa  2005gr  3:36:37.48  +1:4:45.0  0.2400  53642.1  14  YES 
SN3451  SNIa  2005gf  22:16:16.62  +0:42:29.3  0.2400  53642.3  13  YES 
SN3452  SNIa  2005gg  22:18:41.16  +0:38:21.1  0.2300  53645.3  13  YES 
SN3488  SNIa?(LC)  ---  20:54:13.25  -1:0:37.2  0.2182  53647.5  7  YES 
SN3508  SNIa?(LC)  ---  1:3:17.72  -0:10:44.4  0.4980  53638.9  5  YES 
SN3535  SNIa?(LC)  ---  2:56:28.13  -0:8:0.5  0.3100  53622.5  7  YES 
SN3565  SNIa?(LC)  ---  0:10:21.05  +0:42:33.5  0.2900  53695.9  8  NO 
SN3592  SNIa  2005gb  1:16:12.58  +0:47:31.0  0.0870  53645.0  21  YES 
SN3818  SNII  2005gi  0:55:52.68  +0:30:17.8  0.0500  53642.0  15  YES 
SN3881  SNIa?(LC)  ---  23:27:31.61  -0:26:30.3  0.3286  53632.9  4  YES 
SN3892  SNIa?(LC)  ---  1:14:44.68  -0:27:7.5  0.3500  53638.0  8  NO 
SN3901  SNIa  2005ho  0:59:24.10  +0:0:9.3  0.0630  53657.0  30  YES 
SN3959  SNIa?(LC)  ---  3:0:23.49  +0:30:42.9  0.1840  53647.9  5  YES 
SN4000  SNIa  2005gt  2:4:3.84  -0:21:57.0  0.2800  53635.8  2  YES 
SN4012  SNIc  ---  3:13:47.74  -0:14:37.0  0.0250  53646.0  24  YES 
SN4019  SNIa?(LC)  ---  0:5:2.83  +1:8:43.5  0.1810  53650.6  11  NO 
SN4035  SNIa?(LC)  ---  1:25:52.15  +1:2:51.3  0.1688  53643.8  7  YES 
SN4046  SNIa  2005gw  23:37:59.60  +0:38:31.6  0.2800  53643.1  5  YES 
SN4059  SNIa?(LC)  ---  3:38:36.00  +0:8:45.1  0.3039  53636.4  4  YES 
SN4064  SNIa?(SP)  ---  3:4:26.33  +1:2:47.1  0.1560  53646.8  20  YES 
SN4065  SNIa?(LC)  ---  3:11:59.56  +1:3:5.1  0.1310  53649.6  38  YES 
SN4181  SNIa?(LC)  ---  2:31:16.27  -1:7:51.4  0.2900  53639.0  5  YES 
SN4236  SNIa?(LC)  ---  0:7:37.37  -1:1:6.0  0.3440  53650.0  9  YES 
SN4241  SNIa  2005gu  0:48:57.05  -0:54:20.7  0.3300  53634.9  3  YES 
SN4281  SNIa?(LC)  2005in  2:13:28.18  -0:58:5.7  0.2140  53647.8  20  YES 
SN4307  SNIa?(LC)  ---  1:59:51.01  +0:56:58.9  0.2720  53645.1  8  YES 
SN4311  SNIa?(LC)  ---  2:8:31.43  +1:1:11.9  0.2960  53650.2  9  YES 
SN4524  SNIa  2005gj  3:1:11.95  -0:33:13.9  0.0610  53658.0  42  YES 
SN4577  SNIa  2005gv  2:33:54.13  +0:16:50.6  0.3600  53642.8  3  YES 
SN4676  SNIa?(LC)  ---  1:15:17.69  +0:47:17.5  0.2450  53650.0  12  YES 
SN4679  SNIa  2005gy  1:26:6.80  +0:40:36.7  0.3300  53648.9  8  YES 
