#SDSS SN Id	Type	IAUC Name	Right Ascension(hh:mm:ss)	Declination(dd:mm:ss) 	Redshift	Peak MJD	#Obs	Spectrum?
SN16069  SNIa  2006nd  22:44:59.06  -1:0:23.8  0.1290  54048.8  10  YES 
SN16072  SNIa  2006nv  0:12:29.87  -0:58:38.3  0.2860  54043.1  8  YES 
SN16073  SNIa  2006of  0:32:25.86  -1:3:14.4  0.1560  54049.8  19  YES 
SN16087  SNII  2006pc  1:44:10.58  -0:9:21.2  0.0550  54035.9  9  YES 
SN16091  SNIa?(LC)  ---  3:20:45.61  +0:50:30.7  0.3000  54051.2  18  YES 
SN16093  SNIa  2006oe  23:21:26.99  +1:7:56.9  0.3350  54041.6  6  YES 
SN16099  SNIa  2006nn  1:45:41.02  -1:3:15.8  0.1970  54051.4  17  YES 
SN16100  SNIa  2006nl  2:1:44.71  -1:1:56.7  0.1900  54045.6  10  YES 
SN16618  SNIa  2006pq  1:25:7.05  -1:13:8.2  0.2000  54067.8  7  YES 
SN16103  SNIa?(LC)  ---  20:51:54.04  -1:3:0.3  0.2020  54045.7  15  YES 
SN16106  SNIa  2006no  22:8:21.44  -1:8:55.6  0.2510  54042.5  7  YES 
SN16108  SNIa  2006og  20:12:4.26  +0:34:14.2  0.1580  54048.8  9  YES 
SN16116  SNIa  2006oh  23:41:12.48  -1:6:20.9  0.1570  54052.7  9  YES 
SN16163  SNIa?(LC)  ---  2:5:59.82  -0:51:20.4  0.1600  54048.9  9  YES 
SN16165  SNIa  2006nw  2:2:55.95  -0:32:1.9  0.1600  54051.8  9  YES 
SN16179  SNIc  2006nx  3:33:30.63  -0:40:38.2  0.1370  54057.0  12  YES 
SN16185  SNIa  2006ok  1:7:28.34  -0:16:9.7  0.1020  54054.0  9  YES 
SN16192  SNII  2006ny  0:39:17.31  +0:5:2.2  0.0790  54055.6  7  YES 
SN16206  SNIa  2006pe  0:23:9.17  -0:3:13.1  0.1600  54056.9  7  YES 
SN16211  SNIa  2006nm  23:12:39.38  +0:16:1.0  0.3110  54035.0  3  YES 
SN16213  SNIa  2006oi  0:35:53.05  +0:15:30.3  0.1980  54051.4  8  YES 
SN16215  SNIa  2006ne  1:13:37.84  +0:25:26.0  0.0470  54061.3  14  YES 
SN16232  SNIa  2006oj  1:8:49.30  -0:59:22.4  0.3410  54039.9  2  YES 
SN16241  SNIa?(LC)  ---  0:8:12.13  -0:54:9.9  0.1000  54054.0  7  YES 
SN16287  SNIa  2006np  3:6:39.48  +0:3:50.5  0.1070  54061.0  9  YES 
SN16259  SNIa  2006ol  23:28:7.19  +0:51:22.9  0.1190  54051.0  8  YES 
SN16276  SNIa  2006om  1:22:18.88  +1:0:38.2  0.1600  54055.8  8  YES 
SN16280  SNIa  2006nz  0:56:29.21  -1:13:36.1  0.0380  54009.0  12  YES 
SN16281  SNIa  2006pd  23:31:46.12  -0:40:5.0  0.1870  54052.6  7  YES 
SN16290  SNIa?(LC)  ---  20:31:52.83  -0:37:34.7  0.1510  54055.8  12  YES 
SN16314  SNIa  2006oa  21:23:42.94  -0:50:36.5  0.0630  54068.4  15  YES 
SN16333  SNIa  2006on  21:55:58.49  -1:4:12.7  0.0720  53994.0  9  YES 
SN16350  SNIa  2006ph  21:34:33.48  -0:53:9.0  0.2360  54051.7  7  YES 
SN16352  SNIa  2006pk  23:4:59.85  -0:52:24.1  0.2540  54056.2  7  YES 
SN16357  SNIa  2006pi  22:3:16.60  -0:36:24.6  0.3710  54054.0  9  YES 
SN16362  SNIa?(LC)  ---  1:11:48.23  -0:29:49.6  0.1790  54048.8  6  YES 
SN16392  SNIa  2006ob  1:51:48.14  +0:15:47.9  0.0590  54065.0  5  YES 
SN16402  SNIa  2006sv  22:25:28.25  +0:15:55.0  0.2970  54059.2  7  YES 
SN16414  SNIa  2006pj  22:37:18.35  +0:44:17.3  0.3070  54057.9  6  YES 
SN16421  SNIa  2006pg  3:27:20.71  +1:5:22.8  0.3200  54048.9  5  YES 
SN16441  SNIa?(LC)  ---  21:59:37.17  -0:39:49.3  0.2910  54052.8  7  YES 
SN16442  SNIa  2006oo  21:59:47.23  -0:43:59.6  0.2810  54058.1  8  YES 
SN16454  SNIa?(LC)  ---  21:47:10.39  -0:24:18.6  0.2290  54057.6  7  YES 
SN16462  SNIa?(LC)  ---  1:8:9.74  -0:23:11.1  0.2450  54049.7  6  NO 
SN16466  SNIa?(LC)  ---  21:17:38.04  +0:6:11.8  0.1880  54052.4  5  NO 
SN16467  SNIa?(LC)  ---  21:54:20.58  +0:7:5.8  0.2200  54043.1  5  YES 
SN16472  SNIa?(LC)  ---  1:33:2.47  +0:9:57.5  0.3100  54046.7  8  YES 
SN16473  SNIa  2006pl  21:54:26.92  +0:35:18.7  0.2170  54061.5  7  YES 
SN16482  SNIa  2006pm  21:54:50.28  +0:56:1.2  0.2050  54057.5  7  YES 
SN16541  SNIa  2006pn  3:49:2.85  -0:31:58.0  0.1300  54066.6  6  YES 
SN16567  SNIa  2006pf  1:41:45.13  -0:11:20.9  0.4000  54055.6  5  YES 
SN16576  SNIa?(LC)  ---  1:17:43.16  +0:24:23.9  0.1331  54059.7  7  NO 
SN16578  SNIa  2006po  20:23:15.17  -0:50:54.6  0.1800  54059.7  6  YES 
SN16619  SNIa  2006ps  1:43:45.30  -1:6:42.9  0.1000  54071.6  7  YES 
SN16631  SNIa  2006pv  3:38:29.47  -0:40:32.0  0.2070  54057.8  7  YES 
SN16637  SNIa?(LC)  ---  0:32:42.24  -0:19:6.4  0.2450  54062.0  5  YES 
SN16641  SNIa  2006pr  1:34:14.70  -0:24:13.1  0.1100  54066.9  9  YES 
SN16644  SNIa  2006pt  2:27:16.17  -0:23:36.5  0.2990  54058.2  5  YES 
SN16657  SNIa?(LC)  ---  20:42:30.39  +0:54:20.4  0.1920  54061.7  6  YES 
SN16668  SNII  2006pu  2:42:53.82  +0:53:34.3  0.1500  54064.2  8  YES 
SN16692  SNIa?(SP)  2006op  21:21:31.87  +0:59:35.9  0.0340  54070.0  8  YES 
SN16737  SNIa  2006qc  20:51:19.84  -0:57:8.4  0.2000  54069.8  3  YES 
SN16748  SNIa  2006sx  0:31:48.32  -0:30:50.2  0.2310  54066.9  5  YES 
SN16758  SNIa  2006pw  22:46:26.96  +1:9:2.9  0.3270  54055.1  5  YES 
SN16774  SNIa  2006sy  2:21:5.20  +0:49:42.2  0.2140  54069.8  4  YES 
SN16776  SNIa  2006qd  23:8:5.14  -0:10:33.9  0.2670  54066.1  4  YES 
SN16779  SNIa  2006qa  3:1:9.73  -0:1:34.5  0.3980  54032.1  2  YES 
SN16781  SNIa  2006qb  3:28:14.65  -0:12:3.5  0.3260  54053.9  4  YES 
SN16789  SNIa  2006pz  2:55:8.24  +0:14:5.2  0.3250  54034.4  4  YES 
SN16793  SNIa  2006qg  21:54:18.09  +0:26:49.2  0.2300  54069.9  4  YES 
SN16836  SNIa  2006sw  1:5:0.20  -0:22:28.7  0.3340  54066.2  3  YES 
SN16840  SNII  2006qf  3:51:57.24  -0:23:47.7  0.1660  54066.3  7  YES 
SN16847  SNIa  2006px  23:33:17.10  +0:57:40.0  0.2770  54065.1  3  YES 
SN16857  SNII  ---  3:5:35.65  +0:37:32.0  0.0750  54063.0  7  YES 
SN16872  SNIa  2006qh  21:47:53.02  +0:42:24.6  0.1200  54072.6  4  YES 
SN16938  SNIa  2006qe  23:12:19.98  -0:32:3.9  0.3900  54055.1  5  YES 
SN16941  SNIa?(SP)  2006sz  23:42:52.46  -0:33:22.9  0.1940  54057.8  5  YES 
SN16956  SNIa  2006qj  20:11:5.61  -0:19:11.9  0.1100  54069.0  4  YES 
SN16979  SNIa?(LC)  ---  2:56:26.87  -0:17:5.0  0.1100  54067.0  4  YES 
SN16988  SNIc  2006qk  22:25:32.38  +0:9:15.1  0.0580  54066.9  4  YES 
SN17048  SNIa  2006qi  1:50:19.56  +0:53:5.6  0.1890  54068.7  4  YES 
SN17081  SNIa  2006ql  1:50:9.11  +0:25:13.7  0.2710  54055.0  2  YES 
SN17106  SNIa  2006tc  3:8:1.96  +0:56:36.4  0.2130  54073.8  3  YES 
SN17117  SNIa  2006qm  2:42:24.07  -0:47:47.5  0.1400  54073.2  3  YES 
SN17135  SNIa  2006rz  3:46:6.78  +0:23:23.1  0.0310  54082.2  1  YES 
SN17167  SNII  2007mr  20:8:18.00  -0:39:44.8  0.0800  54362.0  11  YES 
SN17168  SNIa  2007ik  22:38:53.71  -1:10:1.5  0.1830  54354.6  8  YES 
SN17170  SNIa?(LC)  ---  20:49:42.38  -1:12:31.5  0.2200  54346.7  3  YES 
SN17171  SNIa  2007id  21:46:0.49  -1:13:3.8  0.1600  54340.8  4  YES 
SN17174  ---  2007fr  21:37:8.73  +0:26:13.6  0.0500  54340.8  10  NO 
SN17176  SNIa?(SP)  2007ie  22:17:36.68  +0:36:48.0  0.0930  54331.0  13  YES 
SN17186  SNIa  2007hx  2:6:27.08  -0:53:58.4  0.0800  54353.0  18  YES 
SN17200  SNII  2007ja  23:30:5.49  +0:43:32.3  0.0900  54354.0  13  YES 
SN17204  SNII  2007hw  2:3:35.16  +0:47:10.3  0.0620  54358.0  23  YES 
SN17208  SNIa  2007ic  0:5:57.98  +1:6:11.1  0.1430  54338.6  14  YES 
SN17215  SNIa  2007hy  3:39:42.33  +1:5:32.3  0.1810  54346.2  8  YES 
SN17218  SNIa  2007jp  23:44:41.24  -0:1:48.2  0.1800  54345.6  8  YES 
SN17219  SNIa?(LC)  ---  0:12:46.66  -0:6:8.8  0.1943  54335.6  6  NO 
SN17220  SNIa  2007ji  0:38:48.37  -0:10:45.3  0.1820  54353.0  12  YES 
SN17223  SNIa  2007jj  1:45:26.73  -0:1:9.9  0.2360  54342.9  8  YES 
SN17240  ---  2007ht  0:34:33.83  -1:13:3.3  0.0730  54342.9  17  NO 
SN17244  SNII  2007ib  23:15:44.56  +0:27:25.6  0.0340  54339.0  18  YES 
SN17253  SNIa  2007jq  0:11:58.61  +0:59:53.3  0.1590  54339.7  7  YES 
SN17254  SNIa?(SP)  2007ii  0:33:34.05  +0:59:5.8  0.2630  54349.0  3  YES 
SN17258  SNIa  2007jr  2:22:57.27  +1:1:32.7  0.0890  54339.0  23  YES 
SN17263  ---  2007gt  0:16:26.17  -0:21:9.6  0.0601  54339.0  18  NO 
SN17274  SNIa  2007ij  23:57:21.96  +0:6:21.1  0.1840  54351.0  12  YES 
SN17280  SNIa  2007ia  3:43:10.06  +0:6:8.9  0.1310  54345.0  9  YES 
SN17287  ---  2007gl  3:11:33.25  -0:44:47.1  0.0280  54345.0  21  NO 
SN17332  SNIa  2007jk  2:55:5.63  -0:8:50.7  0.1790  54355.4  15  YES 
SN17340  SNIa  2007kl  2:44:50.90  +0:21:53.4  0.2600  54353.0  7  YES 
SN17351  SNIb  2007jy  20:51:21.43  +0:23:57.8  0.1800  54350.0  5  YES 
SN17366  SNIa  2007hz  21:3:8.95  -1:1:45.1  0.1390  54348.7  17  YES 
}SN18415  SNIa  2007la  22:29:54.79  +1:3:31.0  0.1300  54380.1  11  YES 
SN20829  SNIa  2007qu  22:32:32.81  +0:51:32.7  0.3100  54416.0  6  YES 
SN17497  SNIa  2007jt  2:28:32.78  -1:2:31.6  0.1440  54363.8  13  YES 
SN17376  SNIa?(LC)  ---  22:2:34.51  +0:40:21.1  0.0717  54316.0  12  NO 
SN17386  SNII  2007jm  21:55:38.58  -0:10:36.3  0.0910  54346.0  23  YES 
SN17389  SNIa  2007ih  21:33:10.77  -0:57:36.5  0.1710  54351.6  9  YES 
SN17391  SNIa  2007jo  23:10:12.58  -0:55:53.1  0.1940  54339.2  8  YES 
SN17434  SNIa?(LC)  ---  1:13:44.97  -0:4:22.1  0.1787  54357.2  10  NO 
SN17435  SNIa  2007ka  1:21:22.70  -0:0:53.3  0.2220  54356.9  13  YES 
SN17460  SNIa  2007km  2:48:20.07  -0:17:17.3  0.2480  54344.6  4  YES 
SN17464  SNIa  2007jb  0:26:33.79  +0:2:31.1  0.2800  54353.0  5  YES 
SN17500  SNIa  2007lf  0:16:45.46  +1:12:3.2  0.0440  54334.8  17  YES 
SN17528  SNIa  2007iy  20:41:5.96  -0:25:19.6  0.3710  54341.1  4  YES 
SN17531  SNII  2007jn  22:47:31.99  +0:24:52.5  0.0570  54324.0  17  YES 
SN17548  SNII  2007ms  20:32:18.34  -1:0:53.1  0.0360  54369.0  19  YES 
SN17552  SNIa  2007jl  21:29:16.93  -1:0:11.4  0.2570  54355.0  7  YES 
SN17564  SNII  2007iz  21:17:35.50  +0:18:56.3  0.2530  54362.0  22  YES 
SN17568  SNIa  2007kb  20:52:24.71  +0:16:39.7  0.1400  54361.0  10  YES 
SN17605  SNIa  2007js  20:36:48.66  +0:5:54.4  0.1680  54347.8  6  YES 
SN17627  SNII  2007jf  0:12:22.33  -1:6:19.7  0.0700  54360.0  15  YES 
SN17629  SNIa  2007jw  2:2:32.74  -1:5:21.1  0.1380  54368.9  15  YES 
SN17745  SNIa  2007ju  0:11:50.46  -0:20:21.1  0.0630  54373.0  18  YES 
SN17746  SNIa?(SP)  2007jv  0:15:36.91  -0:23:21.7  0.1550  54361.2  3  YES 
SN17784  SNIa  2007jg  3:29:50.81  +0:3:24.6  0.0370  54367.0  20  YES 
SN17790  SNIa  2007jx  20:2:32.82  +0:22:18.0  0.1770  54351.7  2  YES 
SN17791  SNIa  2007kp  22:9:29.59  +0:44:16.4  0.2860  54366.1  7  YES 
SN17800  SNII  2007kn  20:48:9.42  -1:0:55.4  0.2190  54333.6  2  YES 
SN17801  SNIa  2007ko  21:4:22.37  -0:53:52.9  0.2100  54362.7  8  YES 
SN17809  SNIa?(SP)  2007kr  0:25:27.50  -0:50:22.5  0.2900  54366.0  14  YES 
SN17811  SNIa  2007ix  0:51:30.88  -0:56:50.6  0.2000  54352.1  13  YES 
SN17825  SNIa  2007je  2:11:47.31  -0:54:44.7  0.1600  54365.9  12  YES 
SN17862  SNII  2007nr  1:1:59.47  +0:40:54.9  0.1440  54351.1  14  YES 
SN17875  SNIa  2007jz  1:23:56.01  +1:15:18.0  0.2220  54359.8  8  YES 
SN17880  SNIa  2007jd  2:59:53.37  +1:9:38.5  0.0700  54363.0  17  YES 
SN17882  SNIa?(LC)  ---  1:0:4.44  +1:14:47.4  0.2700  54359.0  7  YES 
SN17884  SNIa  2007kt  1:50:23.96  +1:10:19.5  0.2420  54365.8  11  YES 
SN17886  SNIa  2007jh  3:36:1.54  +1:6:12.1  0.0400  54365.0  14  YES 
SN17928  SNIa?(LC)  ---  23:53:52.85  +1:6:52.9  0.1982  54362.7  7  YES 
SN20040  SNIa  2007rf  21:55:31.07  +0:48:54.3  0.2900  54409.1  6  YES 
SN17973  SNIa?(LC)  ---  22:44:32.19  +0:11:40.1  0.1478  54352.5  15  YES 
SN18030  SNIa  2007kq  0:19:43.91  -0:24:0.5  0.1600  54371.8  15  YES 
SN18408  SNII  2007lj  21:28:41.93  -0:4:2.2  0.0400  54379.0  22  YES 
SN18091  SNIa  2007ku  1:33:28.21  +0:31:28.9  0.3710  54368.2  4  YES 
SN18109  SNII  2007kw  2:10:16.83  -0:15:57.1  0.0680  54376.0  21  YES 
SN18241  SNIa  2007ks  20:49:33.06  -0:45:42.2  0.0950  54373.0  15  YES 
SN18297  SNII  2007ky  1:6:11.53  -0:36:50.9  0.0740  54376.0  14  YES 
SN18298  SNIa  2007li  1:13:4.02  -0:32:24.0  0.1200  54374.0  7  YES 
SN18299  SNII  2007kz  3:36:4.58  -0:12:4.3  0.1250  54379.0  13  YES 
SN18323  SNIa  2007kx  0:13:42.87  +0:39:7.8  0.1600  54374.8  14  YES 
SN18325  SNIa  2007mv  0:35:37.38  +0:22:12.1  0.2580  54376.4  8  YES 
SN18375  SNIa  2007lg  0:46:3.94  -0:0:37.4  0.1180  54379.6  19  YES 
SN18441  SNII  2007lb  3:49:9.53  -0:44:9.2  0.0580  54384.4  16  YES 
SN18451  SNIa?(SP)  2007mt  1:45:56.59  -0:13:3.5  0.4080  54372.2  5  YES 
SN18456  SNIa?(SP)  2007lk  1:57:50.11  -0:23:53.1  0.2200  54380.1  15  YES 
SN18457  SNII  2007ll  1:58:40.14  -0:14:56.6  0.0810  54387.0  18  YES 
SN18463  SNIa  2007kv  1:10:15.84  +0:28:19.3  0.2600  54374.0  12  YES 
SN18466  SNIa  2007lm  3:13:40.45  +0:37:48.0  0.2130  54377.3  13  YES 
SN18485  SNIa  2007nu  3:11:50.19  -0:41:32.7  0.2820  54386.1  13  YES 
SN18486  SNIa?(SP)  2007ln  3:40:43.21  +1:0:11.1  0.0900  54387.0  15  YES 
SN18590  SNII  2007nw  20:47:11.37  -1:15:26.0  0.0570  54369.0  14  YES 
SN18596  SNII  2007ld  20:49:29.59  +0:0:14.0  0.0250  54385.0  31  YES 
SN18602  SNIa  2007lo  22:35:56.06  +0:36:33.3  0.1380  54391.6  13  YES 
SN18604  SNIa  2007lp  22:43:41.02  +0:25:17.0  0.1500  54386.1  22  YES 
SN18612  SNIa  2007lc  0:49:9.10  +0:35:49.0  0.1150  54381.9  16  YES 
SN18617  SNIa  2007mw  23:3:2.76  +0:50:57.0  0.3280  54373.9  5  YES 
SN18643  SNIa?(SP)  2007lv  23:24:47.97  +0:56:40.4  0.1180  54386.8  10  YES 
SN18650  SNIa  2007lt  21:53:47.34  +0:0:54.2  0.1150  54385.8  14  YES 
SN18697  SNIa  2007ma  0:44:53.75  -0:59:49.4  0.1070  54381.8  16  YES 
SN18700  SNII  2007md  1:21:56.85  -1:0:47.7  0.0550  54389.0  18  YES 
SN18709  SNII  2007nx  0:3:48.36  +0:21:31.3  0.1000  54364.7  14  YES 
SN18713  SNII  2007lz  0:31:23.21  +0:19:8.0  0.0880  54383.0  14  YES 
SN18721  SNIa  2007mu  0:12:18.56  -0:4:38.3  0.4020  54364.1  4  YES 
SN18734  SNII  2007lx  0:11:39.27  -0:28:24.1  0.0570  54384.0  15  YES 
SN18740  SNIa  2007mc  1:7:25.28  +1:2:37.5  0.1540  54390.8  20  YES 
SN18749  SNIa  2007mb  0:50:11.36  +0:40:31.5  0.1900  54381.6  9  YES 
SN18751  SNIa  2007ly  0:22:53.37  +0:46:33.5  0.0760  54370.0  11  YES 
SN18768  SNIa  2007lh  1:8:52.02  +1:11:52.4  0.1960  54376.7  9  YES 
SN18771  SNII  2007oe  0:24:10.34  +0:46:30.2  0.2450  ---  12  --- 
SN18782  SNIa  2007ns  2:37:2.97  -0:51:59.8  0.3660  54374.2  4  YES 
SN18787  SNIa  2007mf  1:58:55.14  -1:1:37.5  0.1960  54384.7  13  YES 
SN18793  SNII  2007og  2:48:20.54  -0:58:10.7  0.2000  54391.5  12  YES 
SN18804  SNIa?(SP)  2007me  1:41:3.75  -0:26:54.4  0.2000  54389.8  14  YES 
SN18807  SNIa  2007mg  3:6:33.83  +0:47:35.9  0.1800  54387.6  13  YES 
SN18809  SNIa  2007mi  3:23:31.52  +0:39:59.9  0.1320  54382.0  13  YES 
SN18834  SNII  2007ny  1:40:55.52  +0:13:7.8  0.1400  54363.0  14  YES 
SN18835  SNIa  2007mj  3:34:44.44  +0:21:19.8  0.1230  54390.9  13  YES 
SN18855  SNIa  2007mh  3:14:31.76  +0:16:11.3  0.1280  54383.8  14  YES 
SN20039  SNIa  2007qh  0:39:30.87  +1:1:27.6  0.2470  54402.9  8  YES 
SN20088  SNIa?(LC)  ---  0:52:49.25  +0:37:53.4  0.2448  54404.3  23  YES 
SN18890  SNIa  2007mm  1:5:46.67  -0:45:31.8  0.0660  54392.0  15  YES 
SN18892  SNII  2007nv  0:5:30.34  -1:12:16.4  0.1440  54390.0  13  YES 
SN18903  SNIa  2007lr  0:49:0.34  -0:19:26.5  0.1560  54389.7  14  YES 
SN18909  SNIa?(SP)  2007lq  0:23:7.86  +0:59:0.4  0.2270  54386.8  13  YES 
SN18927  SNIa  2007nt  3:6:43.79  -0:45:14.5  0.2130  54384.5  10  YES 
SN18940  SNIa  2007sb  0:41:23.75  +0:24:43.0  0.2120  54394.7  12  YES 
SN18945  SNIa  2007nd  0:40:18.82  -1:2:14.5  0.2680  54387.2  11  YES 
SN18959  SNIa  2007ng  2:25:38.10  +0:42:34.5  0.4010  54388.2  4  YES 
SN18965  SNIa  2007ne  0:54:2.19  +1:4:8.5  0.2050  54392.5  18  YES 
SN19002  SNIa  2007nh  2:50:27.69  -0:33:4.2  0.2730  54388.5  10  YES 
SN19003  SNIa  2007mp  21:16:35.63  -0:46:11.6  0.0610  54393.0  15  YES 
SN19008  SNIa  2007mz  22:7:51.20  -1:4:11.8  0.2300  54390.9  11  YES 
SN19023  SNIa  2007ls  20:28:28.07  +0:0:22.5  0.2460  54387.3  6  YES 
SN19025  SNIa  2007mx  21:14:10.87  -0:17:46.5  0.4080  54374.1  2  YES 
SN19027  SNIa  2007my  21:55:32.20  -0:22:19.2  0.2900  54383.1  7  YES 
SN19029  ---  2007lu  22:1:34.90  -0:15:24.7  0.3200  54383.1  4  YES 
SN19033  SNIa?(SP)  2007of  21:4:56.27  +0:3:39.6  0.4030  54383.7  2  YES 
SN19051  SNIa  2007nb  23:25:30.06  +0:25:23.2  0.2790  54388.1  15  YES 
SN19067  SNIa?(SP)  2007oq  21:42:30.75  +0:59:4.6  0.3390  54382.9  3  YES 
SN19070  SNIa  2007na  22:13:32.79  +0:52:49.8  0.4700  54383.9  2  YES 
SN19101  SNIa  2007ml  0:31:53.45  +0:8:17.9  0.2020  54392.5  15  YES 
SN19128  ---  2007lw  23:36:48.91  -0:46:56.0  0.2800  54392.5  10  YES 
SN19149  SNIa  2007ni  2:5:50.40  -0:19:54.7  0.2080  54395.8  18  YES 
SN19155  SNIa  2007mn  2:5:3.96  +0:10:28.4  0.0770  54400.0  17  YES 
SN19174  SNIa  2007or  1:42:38.33  +1:1:49.4  0.1660  54392.8  14  YES 
SN19207  SNIa  2007oa  22:13:51.35  -0:55:13.0  0.2500  54385.1  6  YES 
SN19211  SNIa  2007oh  20:52:36.92  -0:27:14.3  0.4190  54386.3  3  YES 
SN20038  SNII  2007pg  23:27:49.60  +0:27:26.9  0.1190  54375.9  7  YES 
SN19220  SNIa?(SP)  2007ox  22:46:58.08  -0:4:18.6  0.2120  54394.5  10  YES 
SN19222  SNII  2007nl  23:13:44.92  -0:4:3.5  0.1610  54389.0  9  YES 
SN19230  SNIa  2007mo  22:11:33.84  +0:45:53.2  0.2430  54387.6  9  YES 
SN19282  SNIa  2007mk  23:56:17.33  -0:30:21.1  0.1820  54395.2  12  YES 
SN19323  SNIb  2007nc  0:1:9.30  +1:4:6.4  0.0870  54393.0  12  YES 
SN19341  SNIa  2007nf  1:3:26.47  +0:19:53.0  0.2350  54391.8  9  YES 
SN19353  SNIa  2007nj  2:52:27.45  +0:15:6.5  0.1540  54397.7  13  YES 
SN19365  SNIa?(SP)  2007os  1:57:38.65  -0:31:19.7  0.3490  54383.9  4  YES 
SN19381  SNIa  2007nk  3:20:56.53  +1:3:29.3  0.2160  54391.7  10  YES 
SN19389  SNIa?(SP)  2007nz  3:25:11.35  -0:6:22.6  0.4690  54380.8  6  YES 
SN19402  SNIa?(LC)  ---  3:46:55.02  +1:13:11.0  0.1817  ---  12  --- 
SN19425  SNIa?(SP)  2007ow  21:34:2.09  -0:44:25.9  0.2110  54390.5  9  YES 
SN19543  SNIa  2007oj  23:51:38.00  +0:16:47.4  0.1200  54400.0  11  YES 
SN19596  SNIa  2007po  3:35:32.23  +0:42:12.1  0.2890  54391.4  10  YES 
SN19604  SNIa?(SP)  2007oi  0:21:17.87  +1:4:28.3  0.3000  54395.1  6  YES 
SN22182  SNIa  2007sm  21:22:50.57  +0:25:17.9  0.0600  54448.3  2  YES 
SN21064  SNII  2007qb  0:59:18.72  -0:56:49.4  0.0790  54415.0  7  YES 
SN19616  SNIa  2007ok  2:28:24.27  +0:11:4.8  0.1660  54402.8  14  YES 
SN19625  SNIa?(SP)  2007pn  2:16:33.91  -0:43:20.5  0.3140  54393.3  8  YES 
SN19626  SNIa  2007ou  2:23:42.69  -0:49:33.6  0.1130  54401.0  14  YES 
SN19632  SNIa  2007ov  2:41:8.76  +0:8:40.0  0.3150  54391.8  10  YES 
SN19658  SNIa  2007ot  0:35:36.77  -0:13:57.7  0.1990  54399.6  12  YES 
SN19702  SNIa  2007pp  3:11:1.16  +0:21:24.3  0.2620  54393.2  8  YES 
SN19757  SNIa  2007oy  23:17:55.45  +1:13:22.2  0.3770  54395.1  8  YES 
SN19772  SNIa?(LC)  ---  0:50:39.92  -1:2:30.5  0.1751  54399.5  14  YES 
SN19775  SNIa  2007pc  21:15:49.46  +0:39:4.6  0.1490  54402.9  9  YES 
SN19794  SNIa  2007oz  23:57:16.57  +0:14:57.7  0.2960  54393.5  5  YES 
SN19818  SNIa  2007pe  2:21:4.01  +0:29:47.1  0.3040  54395.0  8  YES 
SN20048  SNIa  2007pq  22:37:13.94  +0:44:11.0  0.1850  54402.7  8  YES 
SN19899  SNIa  2007pu  22:45:58.15  -0:38:55.4  0.0910  54419.5  7  YES 
SN19908  SNIa?(LC)  ---  21:21:54.32  -0:17:11.8  0.2354  54402.8  10  YES 
SN19913  SNIa  2007qf  22:15:3.00  -0:20:28.5  0.2100  54398.9  10  YES 
SN19940  SNIa  2007pa  21:1:34.45  -0:16:6.6  0.1570  54405.7  10  YES 
SN19953  SNIa  2007pf  22:11:43.32  +0:34:44.7  0.1240  54414.6  11  YES 
SN19968  SNIa  2007ol  1:37:23.70  -0:18:43.2  0.0560  54413.0  9  YES 
SN19969  SNIa  2007pt  2:7:38.51  -0:19:26.4  0.1750  54402.0  10  YES 
SN19990  SNIa  2007ps  2:19:13.53  -0:23:5.4  0.2460  54400.6  8  YES 
SN19992  SNIa  2007pb  23:48:25.00  -1:11:6.0  0.2430  54402.5  8  YES 
SN20051  SNIa  2007pv  21:59:45.15  +1:7:37.0  0.2630  54410.0  7  YES 
SN20064  SNIa  2007om  23:54:20.69  -0:55:3.4  0.1050  54411.9  10  YES 
SN20084  SNIa  2007pd  23:11:54.07  -0:34:41.1  0.1530  54405.7  9  YES 
SN20097  SNIa?(SP)  2007rd  20:47:1.09  -0:5:57.6  0.2400  54401.9  9  YES 
SN20106  SNIa  2007pr  23:6:13.03  +0:19:44.3  0.3330  54400.2  6  YES 
SN20111  SNIa  2007pw  23:37:34.65  +0:14:53.2  0.2480  54405.1  8  YES 
SN20142  SNIa  2007qg  1:32:1.97  -0:25:47.0  0.3200  54408.9  17  YES 
SN20144  SNIa  2007ql  21:29:43.66  +0:26:40.6  0.2300  54413.9  10  YES 
SN20184  SNIa  2007qn  23:59:9.24  +1:9:30.0  0.3240  54411.9  7  YES 
SN20186  SNIa  2007pj  23:49:10.69  +0:47:52.3  0.3470  54408.9  5  YES 
SN20208  SNIa  2007qd  2:9:33.56  -1:0:2.2  0.0430  54378.8  9  YES 
SN20227  SNIa  2007qi  23:16:28.80  -0:5:54.6  0.2960  54402.0  8  YES 
SN20232  SNIa?(LC)  ---  0:28:20.01  -0:3:29.3  0.2166  54412.6  10  YES 
SN20245  SNIa  2007pi  22:46:49.33  +0:45:22.6  0.2880  54409.1  7  YES 
SN21898  SNIc  2007sj  0:10:39.63  -0:3:10.2  0.0388  54433.0  4  YES 
SN20345  SNIa  2007qp  0:42:48.42  +0:22:47.0  0.2700  54418.0  6  YES 
SN20350  SNIa  2007ph  20:51:13.40  -0:57:21.0  0.1380  54412.0  9  YES 
SN20364  SNIa  2007qo  1:43:1.59  -0:56:43.7  0.2300  54418.9  7  YES 
SN20376  SNIa  2007re  21:17:34.92  -0:31:26.2  0.2010  54415.8  10  YES 
