107-112 F5.2	mag			i_{\rm PSF}			$i$-band PSF magnitude
113-118 F5.2	mag			z_{\rm PSF}			$z$-band PSF magnitude
117-123 F4.2	mag			\sigma_u			1-$\sigma$ uncertainty in $u$-band PSF magnitude
124-128 F4.2	mag			\sigma_g			1-$\sigma$ uncertainty in $g$-band PSF magnitude
129-133 F4.2	mag			\sigma_r			1-$\sigma$ uncertainty in $r$-band PSF magnitude	
134-139 F4.2	mag			\sigma_i			1-$\sigma$ uncertainty in $i$-band PSF magnitude	
140-145 F4.2	mag			\sigma_z			1-$\sigma$ uncertainty in $z$-band PSF magnitude
-------------------------------------------------------------------------------------------------------------------------------------
Note (1): The first four digits of the target code show whether the object was targeted by the Galaxy, Low-z QSO, High-z QSO, or Serendipity FIRST algorithm (in that order). The last digit indicates whether the object belongs to the Special Southern survey.
Note (2): S_{\rm 20 cm} is the peak flux of the nearest match within 2\arcsec {} from the FIRST survey \citep{beck95}; it is listed as 0 if no match was found. RMS flux is listed as -1 if objects in not in the FIRST survey area. 
Note (3): PSF asinh magnitudes are taken from the SDSS TARGET database and corrected for Galactic extinction \citep{schl98}
-------------------------------------------------------------------------------------------------------------------------------------
  14.090512    0.543282  0.4840  9.25  9.32  692 548 52201 00001    8.33  0.148 22.08 21.40 20.51 19.51 19.67 0.25 0.05 0.04 0.03 0.08 
  14.557325   -0.281703  0.5471  8.51  8.53 1083 171 52520 00001    0.00  0.163 22.74 21.78 20.78 20.08 19.73 0.48 0.07 0.04 0.04 0.09 
  15.523890   14.723823  0.1880  8.41  8.42  421 157 51821 10000    0.00 -1.000 20.49 19.11 18.06 17.56 17.37 0.08 0.02 0.02 0.01 0.02 
  15.816528    0.487632  0.2021  8.19  8.19  670 390 52520 00001    0.00  0.135 22.48 20.63 19.69 19.08 18.89 0.45 0.09 0.09 0.06 0.07 
  15.952462    0.659671  0.3144  8.31  8.32  670 437 52520 00001    0.00  0.145 21.20 20.57 19.80 19.55 18.96 0.10 0.03 0.05 0.06 0.07 
  16.021576   -1.229583  0.2651  8.37  8.37 1498 252 52914 00001    0.00  0.149 21.04 20.57 19.56 19.26 18.76 0.11 0.04 0.02 0.02 0.04 
  16.348406    1.222609  0.2049  8.37  8.39  670 407 52520 00001    0.00  0.147 21.78 20.73 19.54 19.19 18.99 0.29 0.04 0.03 0.02 0.05 
  16.529367    0.157631  0.5281  8.76  8.76  396 554 51816 00100    0.00  0.145 22.81 21.28 20.54 19.87 19.82 0.59 0.06 0.04 0.03 0.13 
  16.960350   -0.898020  0.5202  9.12  9.12  670  55 52520 00001    5.33  0.155 21.37 21.04 20.03 19.57 19.32 0.12 0.04 0.02 0.03 0.07 
  17.199099    1.097982  0.3642  8.43  8.46  670 619 52520 00001    0.00  0.210 21.67 20.80 19.67 19.23 18.84 0.15 0.03 0.02 0.03 0.05 
  18.421309    1.102363  0.2809  9.20  9.21 1499 522 53001 00001    1.72  0.149 21.06 20.48 19.29 19.45 18.77 0.11 0.03 0.02 0.02 0.04 
  18.623377    0.010201  0.3891  8.45  8.46  695 227 52202 00001    0.00  0.142 22.14 21.15 20.01 19.28 18.61 0.19 0.04 0.02 0.02 0.04 
  19.623814   -0.121282  0.5951  9.17  9.17 1499  39 53001 00001    0.00  0.147 22.01 21.71 21.07 19.89 20.29 0.21 0.07 0.05 0.03 0.13 
  19.898485  -10.436985  0.1251  8.40  8.43  661 285 52163 10000    1.61  0.157 20.11 19.06 18.22 17.82 17.58 0.06 0.02 0.02 0.02 0.02 
  19.961344    0.126858  0.6331  8.75  8.71 1500 511 53730 00001    0.00  0.157 23.14 21.76 20.43 19.51 19.02 0.64 0.06 0.03 0.03 0.06 
  20.029997    1.241671  0.4577  8.44  8.44 1080 521 52614 00001    0.00  0.150 21.27 21.25 20.50 19.99 19.92 0.13 0.04 0.03 0.03 0.09 
  20.134212   -0.917222  0.6010  8.85  8.87  696 243 52209 00001    0.00  0.144 21.80 21.28 20.74 19.97 20.52 0.16 0.05 0.04 0.03 0.20 
  20.642702  -10.768211  0.1969  8.22  8.22  661 257 52163 10000    5.35  0.135 20.88 19.10 18.14 17.71 17.43 0.12 0.02 0.02 0.02 0.02 
  20.922798    0.743312  0.3990  9.14  9.14  696 498 52209 00001   11.34  0.145 21.44 21.35 20.64 19.64 19.47 0.12 0.05 0.04 0.03 0.08 
  22.357571   -0.983405  0.7111  9.71  9.75  198   9 51433 00000    3.14  0.147 21.66 20.72 19.64 19.19 18.52 0.14 0.07 0.07 0.05 0.05 
  23.507481    0.145835  0.4184  8.91  8.95  400 197 51820 00100    0.00  0.203 23.18 21.57 20.60 19.77 19.60 0.73 0.06 0.04 0.03 0.10 
  23.568098    0.237107  0.5559  9.53  9.55  698 400 52203 00001    0.00  0.201 22.30 21.44 20.74 19.63 20.09 0.23 0.05 0.04 0.02 0.15 
  24.925604   -0.105242  0.1969  8.84  8.89  698 158 52203 00001   37.33  0.148 20.83 19.84 18.64 18.32 18.22 0.07 0.02 0.02 0.02 0.03 
  25.353832   -9.754534  0.1442  8.22  8.23  663 102 52145 10000    4.65  0.171 20.49 19.20 18.56 17.96 17.92 0.11 0.26 0.32 0.28 0.45 
  25.656197   14.688299  0.3896  8.88  8.87  426 590 51882 01000    0.00 -1.000 20.54 19.85 18.86 18.48 18.23 0.07 0.02 0.02 0.02 0.03 
  26.005445   -0.538962  0.5990  8.98  9.02  699 235 52202 00001    0.00  0.144 23.03 21.56 20.83 19.96 19.56 0.54 0.06 0.04 0.03 0.08 
  26.553326    0.853452  0.6229  8.29  7.93  699 460 52202 00001    1.76  0.152 23.00 22.61 21.41 20.44 19.85 0.44 0.12 0.06 0.05 0.11 
  26.750046   13.870532  0.1973  8.18  8.20  429 480 51820 10000    0.00 -1.000 20.96 19.89 19.03 18.69 18.48 0.09 0.03 0.03 0.02 0.04 
  27.385534   -0.801016  0.5669  9.29  9.36  700 289 52199 00001    1.60  0.145 22.48 21.47 20.51 19.60 19.62 0.38 0.05 0.04 0.02 0.07 
  27.877699    0.058769  0.4204  8.34  8.33 1076 479 52914 00001    0.00  0.142 21.85 21.39 20.58 19.97 19.54 0.22 0.05 0.03 0.03 0.08 
  28.420950   -1.162489  0.2413  8.12  8.12  402  58 51793 10000    0.00  0.145 21.60 20.47 19.25 18.72 18.30 0.15 0.03 0.02 0.01 0.03 
  28.434692   -8.954157  0.1628  8.35  8.36  665 507 52168 10000    1.55  0.151 20.63 19.41 18.56 18.03 17.82 0.08 0.02 0.02 0.02 0.03 
  28.661682    0.208174  0.4664  8.44  8.47 1076 577 52914 00001    0.00  0.151 21.13 20.74 19.85 19.37 19.14 0.12 0.03 0.02 0.02 0.06 
  29.320515   -0.884665  0.4223  9.19  9.22  700  18 52199 00001    0.00  0.135 21.53 21.32 20.49 19.40 19.77 0.12 0.17 0.05 0.07 0.11 
  29.558002   -0.885114  0.5450  8.90  8.93  700   4 52199 00001    0.00  0.150 22.16 21.77 20.83 19.93 19.45 0.22 0.07 0.04 0.03 0.08 
  29.798590   14.656240  0.3190  8.39  8.39  427 323 51900 00100    0.00 -1.000 22.34 21.53 20.25 20.27 19.79 0.31 0.06 0.03 0.05 0.09 
  29.964773    0.085810  0.4282  8.46  8.47 1075 518 52933 00001    0.00  0.139 21.55 21.20 20.53 20.07 19.89 0.16 0.04 0.03 0.03 0.10 
  30.598808   12.788260  0.0859  8.11  8.12  427 138 51900 10000    0.00 -1.000 19.57 18.53 17.83 17.36 17.14 0.06 0.03 0.01 0.01 0.02 
  31.732134    1.140743  0.4712  9.55  9.59 1074 457 52937 00001    1.34  0.147 21.52 21.10 20.48 19.26 19.45 0.14 0.04 0.03 0.02 0.06 
  32.695858  -10.031369  0.5401  9.87  9.90  667 135 52163 01000    0.00  0.157 21.15 20.95 20.39 19.18 20.30 0.11 0.05 0.03 0.02 0.15 
  33.751808    0.343363  0.3956  8.47  8.49 1073 493 52649 00001    0.00  0.139 21.80 21.48 20.53 20.03 19.70 0.18 0.05 0.03 0.03 0.08 
  34.317917   -8.947848  0.2324  8.27  8.29  668 195 52162 10000    0.00  0.150 20.85 19.71 18.99 18.56 18.36 0.08 0.03 0.02 0.02 0.03 
  34.490925   -1.223444  0.3755  8.39  8.37  703  91 52209 00001    1.84  0.138 22.43 21.31 19.74 19.10 18.60 0.36 0.06 0.02 0.02 0.04 
  34.492435   -0.217429  0.3440  8.79  8.81  406 314 51869 00010    1.68  0.151 21.44 20.46 19.34 19.11 18.62 0.15 0.03 0.02 0.02 0.04 
